JobID,Title,Link,shortCategory,longCategory,Department,Location,Agency,Posted Date
"424031","Employment Law Unit Agency Attorney","https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM_FL.HRS_CG_SEARCH_FL.GBL?Page=HRS_APP_JBPST_FL&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=424031&PostingSeq=1","067","ADMINISTRATION FOR CHILDRE","Employment Law Unit (Gc)","MANHATTAN","ADMIN FOR CHILDREN'S SVCS","2021-01-05"
"455993","Youth Development Specialist","https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM_FL.HRS_CG_SEARCH_FL.GBL?Page=HRS_APP_JBPST_FL&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=455993&PostingSeq=1","067","ADMINISTRATION FOR CHILDRE","Crossroads Juvenile Center","BROOKLYN","ADMIN FOR CHILDREN'S SVCS","2021-01-05"
"455185","Youth Development Specialist","https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM_FL.HRS_CG_SEARCH_FL.GBL?Page=HRS_APP_JBPST_FL&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=455185&PostingSeq=1","067","ADMINISTRATION FOR CHILDRE","Crossroads Juvenile Center","BROOKLYN","ADMIN FOR CHILDREN'S SVCS","2020-12-23"
"455550","Chief Operating Officer","https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM_FL.HRS_CG_SEARCH_FL.GBL?Page=HRS_APP_JBPST_FL&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=455550&PostingSeq=1","067","ADMINISTRATION FOR CHILDRE","Child and Family Well-Being","MANHATTAN","ADMIN FOR CHILDREN'S SVCS","2020-12-17"
"454276","Performance Monitor","https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM_FL.HRS_CG_SEARCH_FL.GBL?Page=HRS_APP_JBPST_FL&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=454276&PostingSeq=1","067","ADMINISTRATION FOR CHILDRE","Agy Program Assistance (DPPM)","MANHATTAN","ADMIN FOR CHILDREN'S SVCS","2020-12-17"
"455441","Deputy Borough Chief","https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM_FL.HRS_CG_SEARCH_FL.GBL?Page=HRS_APP_JBPST_FL&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=455441&PostingSeq=1","067","ADMINISTRATION FOR CHILDRE","Family Court Legal Svcs-Fcls","NYC-ALL BOROS","ADMIN FOR CHILDREN'S SVCS","2020-12-16"
"451270","Youth Development Specialist","https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM_FL.HRS_CG_SEARCH_FL.GBL?Page=HRS_APP_JBPST_FL&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=451270&PostingSeq=1","067","ADMINISTRATION FOR CHILDRE","Crossroads Juvenile Center","BROOKLYN","ADMIN FOR CHILDREN'S SVCS","2020-10-26"
"440133","Supervisor, SRU","https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM_FL.HRS_CG_SEARCH_FL.GBL?Page=HRS_APP_JBPST_FL&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=440133&PostingSeq=1","067","ADMINISTRATION FOR CHILDRE","Child and Family Well-Being","MANHATTAN","ADMIN FOR CHILDREN'S SVCS","2020-07-22"
"432041","Deputy Commissioner, Child and Family Well-Being","https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM_FL.HRS_CG_SEARCH_FL.GBL?Page=HRS_APP_JBPST_FL&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=432041&PostingSeq=1","067","ADMINISTRATION FOR CHILDRE","Child and Family Well-Being","MANHATTAN","ADMIN FOR CHILDREN'S SVCS","2020-02-04"
"430514","Assistant Commissioner, Business Solutions","https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM_FL.HRS_CG_SEARCH_FL.GBL?Page=HRS_APP_JBPST_FL&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=430514&PostingSeq=1","067","ADMINISTRATION FOR CHILDRE","Mis Admin,Network Sysms Dvlpmt","NYC-ALL BOROS","ADMIN FOR CHILDREN'S SVCS","2020-01-28"
"416567","Legal Counsel Unit Agency Attorney","https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM_FL.HRS_CG_SEARCH_FL.GBL?Page=HRS_APP_JBPST_FL&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=416567&PostingSeq=1","067","ADMINISTRATION FOR CHILDRE","Legal Counsel","MANHATTAN","ADMIN FOR CHILDREN'S SVCS","2019-10-21"
"411305","Fair Hearings & Compliance Unit Agency Attorney","https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM_FL.HRS_CG_SEARCH_FL.GBL?Page=HRS_APP_JBPST_FL&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=411305&PostingSeq=1","067","ADMINISTRATION FOR CHILDRE","Fair Hearing (Gc)","MANHATTAN","ADMIN FOR CHILDREN'S SVCS","2019-09-06"
"400531","Deputy Director for Child Welfare Reporting","https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM_FL.HRS_CG_SEARCH_FL.GBL?Page=HRS_APP_JBPST_FL&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=400531&PostingSeq=1","067","ADMINISTRATION FOR CHILDRE","SRM: Elig/Rpt/Sys Spprt-P&P","MANHATTAN","ADMIN FOR CHILDREN'S SVCS","2019-07-24"
"399110","Director of Claiming & Revenue","https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM_FL.HRS_CG_SEARCH_FL.GBL?Page=HRS_APP_JBPST_FL&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=399110&PostingSeq=1","067","ADMINISTRATION FOR CHILDRE","Asst Comm Bdgt & Clmng-Financ","MANHATTAN","ADMIN FOR CHILDREN'S SVCS","2019-06-26"
"367427","Senior Analyst","https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM_FL.HRS_CG_SEARCH_FL.GBL?Page=HRS_APP_JBPST_FL&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=367427&PostingSeq=1","067","ADMINISTRATION FOR CHILDRE","Asst Comm Bdgt & Clmng-Financ","MANHATTAN","ADMIN FOR CHILDREN'S SVCS","2018-10-02"
"246734","Compliance Review Unit Supervisor","https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM_FL.HRS_CG_SEARCH_FL.GBL?Page=HRS_APP_JBPST_FL&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=246734&PostingSeq=1","067","ADMINISTRATION FOR CHILDRE","Asst Comm Bdgt & Clmng-Financ","NYC-ALL BOROS","ADMIN FOR CHILDREN'S SVCS","2016-08-05"
"230974","Best Practices Coach","https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM_FL.HRS_CG_SEARCH_FL.GBL?Page=HRS_APP_JBPST_FL&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=230974&PostingSeq=1","067","ADMINISTRATION FOR CHILDRE","Off Prev Tech Assistance (DPS)","NYC-ALL BOROS","ADMIN FOR CHILDREN'S SVCS","2016-08-04"
"243640","Juvenile Justice Trainer","https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM_FL.HRS_CG_SEARCH_FL.GBL?Page=HRS_APP_JBPST_FL&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=243640&PostingSeq=1","067","ADMINISTRATION FOR CHILDRE","Satterwhite Academy (DPPM)","NYC-ALL BOROS","ADMIN FOR CHILDREN'S SVCS","2016-07-08"
"243816","IT Infrastructure Project Manager","https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM_FL.HRS_CG_SEARCH_FL.GBL?Page=HRS_APP_JBPST_FL&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=243816&PostingSeq=1","067","ADMINISTRATION FOR CHILDRE","Mis Admin,Network Sysms Dvlpmt","NYC-ALL BOROS","ADMIN FOR CHILDREN'S SVCS","2016-07-01"
"242174","Policy Writer","https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM_FL.HRS_CG_SEARCH_FL.GBL?Page=HRS_APP_JBPST_FL&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=242174&PostingSeq=1","067","ADMINISTRATION FOR CHILDRE","Strategic Resource Mgt-P&P","NYC-ALL BOROS","ADMIN FOR CHILDREN'S SVCS","2016-06-13"
"242175","Supervising Budget Analyst Early Care &Education","https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM_FL.HRS_CG_SEARCH_FL.GBL?Page=HRS_APP_JBPST_FL&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=242175&PostingSeq=1","067","ADMINISTRATION FOR CHILDRE","Dpty Comm Fnancl Svcs-Finance","NYC-ALL BOROS","ADMIN FOR CHILDREN'S SVCS","2016-06-09"
"241003","Directory Services Support","https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM_FL.HRS_CG_SEARCH_FL.GBL?Page=HRS_APP_JBPST_FL&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=241003&PostingSeq=1","067","ADMINISTRATION FOR CHILDRE","Mis Admin,Network Sysms Dvlpmt","NYC-ALL BOROS","ADMIN FOR CHILDREN'S SVCS","2016-05-19"
"239204","Child Welfare Analyst","https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM_FL.HRS_CG_SEARCH_FL.GBL?Page=HRS_APP_JBPST_FL&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=239204&PostingSeq=1","067","ADMINISTRATION FOR CHILDRE","SRM: Elig/Rpt/Sys Spprt-P&P","NYC-ALL BOROS","ADMIN FOR CHILDREN'S SVCS","2016-05-17"
"239551","Asset Management Specialist","https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM_FL.HRS_CG_SEARCH_FL.GBL?Page=HRS_APP_JBPST_FL&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=239551&PostingSeq=1","067","ADMINISTRATION FOR CHILDRE","Mis Admin,Network Sysms Dvlpmt","NYC-ALL BOROS","ADMIN FOR CHILDREN'S SVCS","2016-05-13"
"239048","APA Foster Care Program Evaluator","https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM_FL.HRS_CG_SEARCH_FL.GBL?Page=HRS_APP_JBPST_FL&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=239048&PostingSeq=1","067","ADMINISTRATION FOR CHILDRE","Agy Program Assistance (DPPM)","NYC-ALL BOROS","ADMIN FOR CHILDREN'S SVCS","2016-05-10"
"239052","Child Welfare Trainer","https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM_FL.HRS_CG_SEARCH_FL.GBL?Page=HRS_APP_JBPST_FL&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=239052&PostingSeq=1","067","ADMINISTRATION FOR CHILDRE","Satterwhite Academy (DPPM)","NYC-ALL BOROS","ADMIN FOR CHILDREN'S SVCS","2016-05-02"
"237577","Senior Budget Analyst","https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM_FL.HRS_CG_SEARCH_FL.GBL?Page=HRS_APP_JBPST_FL&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=237577&PostingSeq=1","067","ADMINISTRATION FOR CHILDRE","Dpty Comm Fnancl Svcs-Finance","NYC-ALL BOROS","ADMIN FOR CHILDREN'S SVCS","2016-04-05"
"237576","Deputy Budget Director","https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM_FL.HRS_CG_SEARCH_FL.GBL?Page=HRS_APP_JBPST_FL&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=237576&PostingSeq=1","067","ADMINISTRATION FOR CHILDRE","Dpty Comm Fnancl Svcs-Finance","NYC-ALL BOROS","ADMIN FOR CHILDREN'S SVCS","2016-04-04"
"234203","Business and Data Analyst Manager","https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM_FL.HRS_CG_SEARCH_FL.GBL?Page=HRS_APP_JBPST_FL&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=234203&PostingSeq=1","067","ADMINISTRATION FOR CHILDRE","Asst Comm Bdgt & Clmng-Financ","NYC-ALL BOROS","ADMIN FOR CHILDREN'S SVCS","2016-03-04"
"231945","Quality Improvement Specialist","https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM_FL.HRS_CG_SEARCH_FL.GBL?Page=HRS_APP_JBPST_FL&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=231945&PostingSeq=1","067","ADMINISTRATION FOR CHILDRE","DYFJ Central","NYC-ALL BOROS","ADMIN FOR CHILDREN'S SVCS","2016-02-26"
"228550","Director of Senior Practice Consultation","https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM_FL.HRS_CG_SEARCH_FL.GBL?Page=HRS_APP_JBPST_FL&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=228550&PostingSeq=1","067","ADMINISTRATION FOR CHILDRE","Dpty Comm Fmly Prmncy Svcs-Fps","NYC-ALL BOROS","ADMIN FOR CHILDREN'S SVCS","2016-01-22"
"187714","Network Engineer I LAN/WAN","https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM_FL.HRS_CG_SEARCH_FL.GBL?Page=HRS_APP_JBPST_FL&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=187714&PostingSeq=1","067","ADMINISTRATION FOR CHILDRE","Mis Admin,Network Sysms Dvlpmt","NYC-ALL BOROS","ADMIN FOR CHILDREN'S SVCS","2015-03-30"
